#  L TT            EE            BB            TE            PP            PT            PE           
  47 1.3626927e+03 9.8280352e-02 6.6108181e-04 1.0490458e+00 1.3540687e-07 8.3606449e-04 -3.9240749e-07
  48 1.3823331e+03 1.0521766e-01 6.8963566e-04 8.9936887e-01 1.3493273e-07 8.1916032e-04 -3.6418663e-07
  49 1.4021156e+03 1.1243856e-01 7.1879586e-04 7.3616143e-01 1.3443893e-07 8.0276359e-04 -3.5524704e-07
  50 1.4220955e+03 1.1994504e-01 7.4856151e-04 5.5899489e-01 1.3392712e-07 7.8685016e-04 -3.9288076e-07
  51 1.4423318e+03 1.2774050e-01 7.7893170e-04 3.6775757e-01 1.3339890e-07 7.7140301e-04 -4.9420050e-07
  52 1.4627714e+03 1.3582952e-01 8.0990549e-04 1.6340310e-01 1.3285525e-07 7.5643130e-04 -6.3583192e-07
  53 1.4833431e+03 1.4421368e-01 8.4148198e-04 -5.3058472e-02 1.3229728e-07 7.4195183e-04 -7.8435047e-07
  54 1.5040271e+03 1.5289525e-01 8.7366027e-04 -2.8147620e-01 1.3172594e-07 7.2798086e-04 -9.0640413e-07
  55 1.5248190e+03 1.6187803e-01 9.0643949e-04 -5.2206877e-01 1.3114222e-07 7.1453499e-04 -9.6870734e-07
  56 1.5458302e+03 1.7115900e-01 9.3981883e-04 -7.7569752e-01 1.3054715e-07 7.0161961e-04 -9.4816330e-07
  57 1.5671620e+03 1.8073477e-01 9.7379751e-04 -1.0432298e+00 1.2994129e-07 6.8919330e-04 -8.6220423e-07
  58 1.5887718e+03 1.9060406e-01 1.0083749e-03 -1.3248553e+00 1.2932518e-07 6.7720352e-04 -7.3834255e-07
  59 1.6105725e+03 2.0076634e-01 1.0435502e-03 -1.6204760e+00 1.2869944e-07 6.6559806e-04 -6.0403768e-07
  60 1.6325437e+03 2.1121365e-01 1.0793231e-03 -1.9295779e+00 1.2806458e-07 6.5432455e-04 -4.8670000e-07
  61 1.6546928e+03 2.2193887e-01 1.1156931e-03 -2.2516806e+00 1.2742127e-07 6.4333564e-04 -4.0886316e-07
  62 1.6770256e+03 2.3293823e-01 1.1526599e-03 -2.5867937e+00 1.2677046e-07 6.3260176e-04 -3.7370505e-07
  63 1.6995607e+03 2.4420952e-01 1.1902233e-03 -2.9350641e+00 1.2611315e-07 6.2209813e-04 -3.7957339e-07
  64 1.7223018e+03 2.5574979e-01 1.2283831e-03 -3.2966314e+00 1.2545029e-07 6.1179974e-04 -4.2482129e-07
  65 1.7452749e+03 2.6755834e-01 1.2671395e-03 -3.6716946e+00 1.2478296e-07 6.0168219e-04 -5.0780730e-07
  66 1.7685176e+03 2.7962787e-01 1.3064927e-03 -4.0604739e+00 1.2411203e-07 5.9173001e-04 -6.2418179e-07
  67 1.7920105e+03 2.9195153e-01 1.3464430e-03 -4.4624352e+00 1.2343808e-07 5.8196636e-04 -7.5875739e-07
  68 1.8157162e+03 3.0451960e-01 1.3869910e-03 -4.8768506e+00 1.2276153e-07 5.7242328e-04 -8.9365697e-07
  69 1.8395896e+03 3.1732459e-01 1.4281371e-03 -5.3030215e+00 1.2208284e-07 5.6313300e-04 -1.0110269e-06
  70 1.8636007e+03 3.3035975e-01 1.4698824e-03 -5.7404427e+00 1.2140245e-07 5.5412790e-04 -1.0930354e-06
  71 1.8877273e+03 3.4362079e-01 1.5122277e-03 -6.1889206e+00 1.2072075e-07 5.4543237e-04 -1.1264808e-06
  72 1.9120832e+03 3.5710359e-01 1.5551741e-03 -6.6493383e+00 1.2003784e-07 5.3703963e-04 -1.1166093e-06
  73 1.9367823e+03 3.7080276e-01 1.5987229e-03 -7.1226303e+00 1.1935374e-07 5.2893519e-04 -1.0732666e-06
  74 1.9618349e+03 3.8470698e-01 1.6428756e-03 -7.6086618e+00 1.1866848e-07 5.2110454e-04 -1.0062854e-06
  75 1.9872437e+03 3.9880418e-01 1.6876337e-03 -8.1069634e+00 1.1798203e-07 5.1353308e-04 -9.2548607e-07
  76 2.0129647e+03 4.1308019e-01 1.7329990e-03 -8.6169751e+00 1.1729455e-07 5.0620527e-04 -8.3991972e-07
  77 2.0388721e+03 4.2752426e-01 1.7789734e-03 -9.1372380e+00 1.1660638e-07 4.9910080e-04 -7.5559298e-07
  78 2.0649492e+03 4.4212429e-01 1.8255588e-03 -9.6672946e+00 1.1591788e-07 4.9219780e-04 -6.7774738e-07
  79 2.0912389e+03 4.5686891e-01 1.8727575e-03 -1.0206984e+01 1.1522951e-07 4.8547487e-04 -6.1162022e-07
  80 2.1177618e+03 4.7174677e-01 1.9205717e-03 -1.0756295e+01 1.1454168e-07 4.7891028e-04 -5.6244367e-07
  81 2.1445411e+03 4.8674636e-01 1.9690040e-03 -1.1314995e+01 1.1385473e-07 4.7248306e-04 -5.3429662e-07
  82 2.1715884e+03 5.0185710e-01 2.0180568e-03 -1.1882716e+01 1.1316900e-07 4.6617384e-04 -5.2665821e-07
  83 2.1988807e+03 5.1706678e-01 2.0677329e-03 -1.2459242e+01 1.1248475e-07 4.5996380e-04 -5.3785995e-07
  84 2.2264173e+03 5.3236393e-01 2.1180349e-03 -1.3044059e+01 1.1180222e-07 4.5383388e-04 -5.6623518e-07
  85 2.2541901e+03 5.4773636e-01 2.1689659e-03 -1.3637025e+01 1.1112173e-07 4.4776557e-04 -6.1011975e-07
  86 2.2821953e+03 5.6317403e-01 2.2205287e-03 -1.4237583e+01 1.1044348e-07 4.4174644e-04 -6.6728733e-07
  87 2.3104019e+03 5.7866379e-01 2.2727266e-03 -1.4845219e+01 1.0976766e-07 4.3579122e-04 -7.3326159e-07
  88 2.3387904e+03 5.9419314e-01 2.3255625e-03 -1.5459378e+01 1.0909439e-07 4.2992118e-04 -8.0300686e-07
  89 2.3673712e+03 6.0974963e-01 2.3790399e-03 -1.6079577e+01 1.0842382e-07 4.2415752e-04 -8.7149133e-07
  90 2.3961472e+03 6.2531633e-01 2.4331619e-03 -1.6705483e+01 1.0775611e-07 4.1852157e-04 -9.3368720e-07
  91 2.4251284e+03 6.4088013e-01 2.4879320e-03 -1.7336546e+01 1.0709134e-07 4.1303010e-04 -9.8554173e-07
  92 2.4543154e+03 6.5642619e-01 2.5433537e-03 -1.7972540e+01 1.0642960e-07 4.0768215e-04 -1.0268907e-06
  93 2.4837234e+03 6.7193976e-01 2.5994303e-03 -1.8612946e+01 1.0577093e-07 4.0247257e-04 -1.0585417e-06
  94 2.5133452e+03 6.8740834e-01 2.6561656e-03 -1.9257545e+01 1.0511540e-07 3.9739615e-04 -1.0813012e-06
  95 2.5431960e+03 7.0281645e-01 2.7135630e-03 -1.9905819e+01 1.0446304e-07 3.9244752e-04 -1.0959747e-06
  96 2.5732685e+03 7.1815010e-01 2.7716263e-03 -2.0557325e+01 1.0381392e-07 3.8762148e-04 -1.1033670e-06
  97 2.6035630e+03 7.3339456e-01 2.8303591e-03 -2.1211622e+01 1.0316809e-07 3.8291290e-04 -1.1042829e-06
  98 2.6340873e+03 7.4853436e-01 2.8897653e-03 -2.1868264e+01 1.0252561e-07 3.7831652e-04 -1.0995258e-06
  99 2.6648192e+03 7.6355552e-01 2.9498484e-03 -2.2526737e+01 1.0188652e-07 3.7382708e-04 -1.0898987e-06
 100 2.6957740e+03 7.7844629e-01 3.0106125e-03 -2.3186522e+01 1.0125090e-07 3.6943947e-04 -1.0762041e-06
 101 2.7269444e+03 7.9319194e-01 3.0720613e-03 -2.3847102e+01 1.0061880e-07 3.6514850e-04 -1.0592441e-06
 102 2.7583307e+03 8.0777033e-01 3.1341988e-03 -2.4508184e+01 9.9990247e-08 3.6094883e-04 -1.0398195e-06
 103 2.7899184e+03 8.2218161e-01 3.1970289e-03 -2.5168953e+01 9.9365362e-08 3.5683555e-04 -1.0187321e-06
 104 2.8217078e+03 8.3639620e-01 3.2605556e-03 -2.5829041e+01 9.8744157e-08 3.5280326e-04 -9.9678142e-07
 105 2.8536916e+03 8.5040683e-01 3.3247830e-03 -2.6487857e+01 9.8126705e-08 3.4884697e-04 -9.7476801e-07
 106 2.8858627e+03 8.6419878e-01 3.3897152e-03 -2.7144735e+01 9.7513064e-08 3.4496141e-04 -9.5349110e-07
 107 2.9182140e+03 8.7776478e-01 3.4553563e-03 -2.7799233e+01 9.6903296e-08 3.4114142e-04 -9.3374975e-07
 108 2.9507308e+03 8.9108270e-01 3.5217106e-03 -2.8450761e+01 9.6297472e-08 3.3738198e-04 -9.1634299e-07
 109 2.9834210e+03 9.0414526e-01 3.5887823e-03 -2.9098652e+01 9.5695675e-08 3.3367792e-04 -9.0206911e-07
 110 3.0162698e+03 9.1693036e-01 3.6565758e-03 -2.9742466e+01 9.5097922e-08 3.3002407e-04 -8.9172595e-07
 111 3.0492701e+03 9.2943068e-01 3.7250956e-03 -3.0381682e+01 9.4504306e-08 3.2641617e-04 -8.8591764e-07
 112 3.0824212e+03 9.4163878e-01 3.7943461e-03 -3.1015547e+01 9.3914809e-08 3.2285368e-04 -8.8447451e-07
 113 3.1157150e+03 9.5353233e-01 3.8643320e-03 -3.1643679e+01 9.3329433e-08 3.1933688e-04 -8.8703339e-07
 114 3.1491432e+03 9.6509644e-01 3.9350579e-03 -3.2265396e+01 9.2748180e-08 3.1586611e-04 -8.9323152e-07
 115 3.1826978e+03 9.7633107e-01 4.0065286e-03 -3.2880165e+01 9.2171043e-08 3.1244160e-04 -9.0270597e-07
 116 3.2163780e+03 9.8722132e-01 4.0787491e-03 -3.3487454e+01 9.1598036e-08 3.0906369e-04 -9.1509441e-07
 117 3.2501755e+03 9.9774488e-01 4.1517243e-03 -3.4086658e+01 9.1029128e-08 3.0573271e-04 -9.3003460e-07
 118 3.2840750e+03 1.0079017e+00 4.2254594e-03 -3.4677168e+01 9.0464304e-08 3.0244886e-04 -9.4716418e-07
 119 3.3180755e+03 1.0176769e+00 4.2999595e-03 -3.5258528e+01 8.9903608e-08 2.9921254e-04 -9.6612148e-07
 120 3.3521689e+03 1.0270631e+00 4.3752299e-03 -3.5830132e+01 8.9347002e-08 2.9602404e-04 -9.8654470e-07
 121 3.3863471e+03 1.0360453e+00 4.4512762e-03 -3.6391373e+01 8.8794490e-08 2.9288365e-04 -1.0080722e-06
 122 3.4205945e+03 1.0446161e+00 4.5281040e-03 -3.6941793e+01 8.8246097e-08 2.8979175e-04 -1.0303428e-06
 123 3.4549103e+03 1.0527681e+00 4.6057188e-03 -3.7480787e+01 8.7701786e-08 2.8674858e-04 -1.0529950e-06
 124 3.4892864e+03 1.0604863e+00 4.6841266e-03 -3.8007749e+01 8.7161591e-08 2.8375446e-04 -1.0756677e-06
 125 3.5237071e+03 1.0677708e+00 4.7633333e-03 -3.8522221e+01 8.6625487e-08 2.8080977e-04 -1.0980001e-06
 126 3.5581718e+03 1.0746067e+00 4.8433448e-03 -3.9023672e+01 8.6093467e-08 2.7791472e-04 -1.1196310e-06
 127 3.5926648e+03 1.0809940e+00 4.9241675e-03 -3.9511497e+01 8.5565567e-08 2.7506972e-04 -1.1402001e-06
 128 3.6271781e+03 1.0869178e+00 5.0058075e-03 -3.9985237e+01 8.5041762e-08 2.7227505e-04 -1.1593466e-06
 129 3.6617107e+03 1.0923782e+00 5.0882713e-03 -4.0444363e+01 8.4522056e-08 2.6953104e-04 -1.1767100e-06
 130 3.6962472e+03 1.0973601e+00 5.1715653e-03 -4.0888269e+01 8.4006453e-08 2.6683800e-04 -1.1919301e-06
 131 3.7307722e+03 1.1018639e+00 5.2556961e-03 -4.1316501e+01 8.3494946e-08 2.6419592e-04 -1.2047249e-06
 132 3.7652936e+03 1.1058898e+00 5.3406703e-03 -4.1728551e+01 8.2987511e-08 2.6160355e-04 -1.2151269e-06
 133 3.7997898e+03 1.1094237e+00 5.4264947e-03 -4.2123985e+01 8.2484124e-08 2.5905933e-04 -1.2232470e-06
 134 3.8342615e+03 1.1124810e+00 5.5131760e-03 -4.2502224e+01 8.1984769e-08 2.5656166e-04 -1.2291958e-06
 135 3.8686944e+03 1.1150400e+00 5.6007211e-03 -4.2862985e+01 8.1489381e-08 2.5410891e-04 -1.2330838e-06
 136 3.9030894e+03 1.1171087e+00 5.6891369e-03 -4.3205613e+01 8.0997963e-08 2.5169956e-04 -1.2350220e-06
 137 3.9374323e+03 1.1186802e+00 5.7784301e-03 -4.3529678e+01 8.0510471e-08 2.4933204e-04 -1.2351208e-06
 138 3.9717163e+03 1.1197626e+00 5.8686077e-03 -4.3834821e+01 8.0026871e-08 2.4700469e-04 -1.2334906e-06
 139 4.0059272e+03 1.1203491e+00 5.9596765e-03 -4.4120612e+01 7.9547165e-08 2.4471606e-04 -1.2302423e-06
 140 4.0400732e+03 1.1204402e+00 6.0516434e-03 -4.4386619e+01 7.9071299e-08 2.4246446e-04 -1.2254859e-06
 141 4.0741327e+03 1.1200514e+00 6.1445151e-03 -4.4632486e+01 7.8599250e-08 2.4024835e-04 -1.2193319e-06
 142 4.1080990e+03 1.1191683e+00 6.2382985e-03 -4.4857708e+01 7.8130991e-08 2.3806617e-04 -1.2118908e-06
 143 4.1419727e+03 1.1177991e+00 6.3329999e-03 -4.5062002e+01 7.7666498e-08 2.3591637e-04 -1.2032729e-06
 144 4.1757323e+03 1.1159518e+00 6.4286262e-03 -4.5244937e+01 7.7205738e-08 2.3379731e-04 -1.1935883e-06
 145 4.2093785e+03 1.1136194e+00 6.5251834e-03 -4.5406008e+01 7.6748684e-08 2.3170747e-04 -1.1829474e-06
 146 4.2428822e+03 1.1108175e+00 6.6226781e-03 -4.5545008e+01 7.6295332e-08 2.2964528e-04 -1.1714603e-06
 147 4.2762367e+03 1.1075541e+00 6.7211161e-03 -4.5661357e+01 7.5845619e-08 2.2760918e-04 -1.1592375e-06
 148 4.3094280e+03 1.1038297e+00 6.8205034e-03 -4.5754774e+01 7.5399558e-08 2.2559759e-04 -1.1463888e-06
 149 4.3424417e+03 1.0996524e+00 6.9208457e-03 -4.5824828e+01 7.4957079e-08 2.2360891e-04 -1.1330243e-06
 150 4.3752638e+03 1.0950302e+00 7.0221484e-03 -4.5871088e+01 7.4518193e-08 2.2164165e-04 -1.1192544e-06
 151 4.4078725e+03 1.0899710e+00 7.1244167e-03 -4.5893271e+01 7.4082859e-08 2.1969443e-04 -1.1051739e-06
 152 4.4402750e+03 1.0844830e+00 7.2276554e-03 -4.5891084e+01 7.3651036e-08 2.1776688e-04 -1.0908183e-06
