#  L TT            EE            BB            TE            PP            PT            PE           
 525 2.5982390e+03 6.9132264e+00 6.2845491e-02 -2.9627528e+01 1.6715353e-08 3.1519277e-06 4.0613788e-07
 526 2.6004328e+03 6.9184864e+00 6.3024460e-02 -2.8343726e+01 1.6665474e-08 3.1455065e-06 3.8936469e-07
 527 2.6023935e+03 6.9287779e+00 6.3202480e-02 -2.7056776e+01 1.6615802e-08 3.1403840e-06 3.7267969e-07
 528 2.6041216e+03 6.9441334e+00 6.3379524e-02 -2.5767484e+01 1.6566335e-08 3.1365437e-06 3.5607970e-07
 529 2.6056171e+03 6.9645704e+00 6.3555569e-02 -2.4476434e+01 1.6517070e-08 3.1339688e-06 3.3956150e-07
 530 2.6068879e+03 6.9901067e+00 6.3730588e-02 -2.3184578e+01 1.6468015e-08 3.1326439e-06 3.2312203e-07
 531 2.6079193e+03 7.0207750e+00 6.3904559e-02 -2.1892572e+01 1.6419160e-08 3.1325514e-06 3.0675799e-07
 532 2.6087263e+03 7.0565781e+00 6.4077457e-02 -2.0601371e+01 1.6370507e-08 3.1336752e-06 2.9046624e-07
 533 2.6093019e+03 7.0975340e+00 6.4249258e-02 -1.9311554e+01 1.6322055e-08 3.1359987e-06 2.7424360e-07
 534 2.6096387e+03 7.1436605e+00 6.4419942e-02 -1.8024075e+01 1.6273805e-08 3.1395062e-06 2.5808695e-07
 535 2.6097520e+03 7.1949832e+00 6.4589485e-02 -1.6739587e+01 1.6225757e-08 3.1441802e-06 2.4199301e-07
 536 2.6096269e+03 7.2515050e+00 6.4757865e-02 -1.5459043e+01 1.6177902e-08 3.1500040e-06 2.2595862e-07
 537 2.6092787e+03 7.3132294e+00 6.4925063e-02 -1.4183022e+01 1.6130249e-08 3.1569621e-06 2.0998064e-07
 538 2.6087001e+03 7.3801670e+00 6.5091059e-02 -1.2912328e+01 1.6082793e-08 3.1650378e-06 1.9405588e-07
 539 2.6078988e+03 7.4523064e+00 6.5255831e-02 -1.1647760e+01 1.6035532e-08 3.1742140e-06 1.7818114e-07
 540 2.6068599e+03 7.5296509e+00 6.5419362e-02 -1.0389974e+01 1.5988466e-08 3.1844748e-06 1.6235325e-07
 541 2.6056062e+03 7.6122116e+00 6.5581633e-02 -9.1396966e+00 1.5941597e-08 3.1958039e-06 1.4656906e-07
 542 2.6041302e+03 7.6999771e+00 6.5742627e-02 -7.8977284e+00 1.5894917e-08 3.2081836e-06 1.3082531e-07
 543 2.6024248e+03 7.7929437e+00 6.5902326e-02 -6.6647445e+00 1.5848431e-08 3.2215989e-06 1.1511890e-07
 544 2.6005049e+03 7.8911076e+00 6.6060715e-02 -5.4414641e+00 1.5802135e-08 3.2360322e-06 9.9446597e-08
 545 2.5983708e+03 7.9944355e+00 6.6217776e-02 -4.2285539e+00 1.5756032e-08 3.2514677e-06 8.3805256e-08
 546 2.5960152e+03 8.1029313e+00 6.6373496e-02 -3.0266880e+00 1.5710118e-08 3.2678887e-06 6.8191681e-08
 547 2.5934457e+03 8.2165618e+00 6.6527860e-02 -1.8365552e+00 1.5664393e-08 3.2852782e-06 5.2602686e-08
 548 2.5906624e+03 8.3352493e+00 6.6680854e-02 -6.5881432e-01 1.5618855e-08 3.3036204e-06 3.7035106e-08
 549 2.5876655e+03 8.4591390e+00 6.6832464e-02 5.0583657e-01 1.5573504e-08 3.3228987e-06 2.1485755e-08
 550 2.5844551e+03 8.5880050e+00 6.6982678e-02 1.6567308e+00 1.5528338e-08 3.3430963e-06 5.9514546e-09
 551 2.5810461e+03 8.7219923e+00 6.7131485e-02 2.7931700e+00 1.5483356e-08 3.3641979e-06 -9.5700719e-09
 552 2.5774239e+03 8.8609482e+00 6.7278873e-02 3.9144722e+00 1.5438563e-08 3.3861922e-06 -2.5077492e-08
 553 2.5736034e+03 9.0048682e+00 6.7424830e-02 5.0199574e+00 1.5393946e-08 3.4090668e-06 -4.0568558e-08
 554 2.5695920e+03 9.1537481e+00 6.7569348e-02 6.1089603e+00 1.5349518e-08 3.4328119e-06 -5.6041037e-08
 555 2.5653825e+03 9.3075093e+00 6.7712416e-02 7.1807935e+00 1.5305271e-08 3.4574165e-06 -7.1492695e-08
 556 2.5609747e+03 9.4661477e+00 6.7854025e-02 8.2347772e+00 1.5261201e-08 3.4828685e-06 -8.6921265e-08
 557 2.5563912e+03 9.6295850e+00 6.7994167e-02 9.2703058e+00 1.5217315e-08 3.5091581e-06 -1.0232453e-07
 558 2.5516171e+03 9.7978173e+00 6.8132835e-02 1.0286670e+01 1.5173608e-08 3.5362743e-06 -1.1770026e-07
 559 2.5466599e+03 9.9707664e+00 6.8270020e-02 1.1283390e+01 1.5130080e-08 3.5642054e-06 -1.3304619e-07
 560 2.5415196e+03 1.0148429e+01 6.8405716e-02 1.2259839e+01 1.5086732e-08 3.5929417e-06 -1.4836012e-07
 561 2.5362111e+03 1.0330652e+01 6.8539916e-02 1.3215388e+01 1.5043558e-08 3.6224705e-06 -1.6363974e-07
 562 2.5307196e+03 1.0517506e+01 6.8672616e-02 1.4149633e+01 1.5000560e-08 3.6527822e-06 -1.7888288e-07
 563 2.5250599e+03 1.0708841e+01 6.8803809e-02 1.5061798e+01 1.4957740e-08 3.6838657e-06 -1.9408728e-07
 564 2.5192397e+03 1.0904651e+01 6.8933491e-02 1.5951404e+01 1.4915092e-08 3.7157089e-06 -2.0925066e-07
 565 2.5132440e+03 1.1104861e+01 6.9061659e-02 1.6817970e+01 1.4872621e-08 3.7483025e-06 -2.2437085e-07
 566 2.5070876e+03 1.1309465e+01 6.9188307e-02 1.7661018e+01 1.4830323e-08 3.7816347e-06 -2.3944557e-07
 567 2.5007782e+03 1.1518240e+01 6.9313433e-02 1.8479919e+01 1.4788198e-08 3.8156945e-06 -2.5447259e-07
 568 2.4943081e+03 1.1731256e+01 6.9437034e-02 1.9274269e+01 1.4746244e-08 3.8504710e-06 -2.6944967e-07
 569 2.4876850e+03 1.1948436e+01 6.9559107e-02 2.0043587e+01 1.4704460e-08 3.8859532e-06 -2.8437455e-07
 570 2.4809088e+03 1.2169628e+01 6.9679652e-02 2.0787395e+01 1.4662847e-08 3.9221302e-06 -2.9924501e-07
 571 2.4739869e+03 1.2394831e+01 6.9798667e-02 2.1505137e+01 1.4621402e-08 3.9589910e-06 -3.1405881e-07
 572 2.4669268e+03 1.2623893e+01 6.9916151e-02 2.2196557e+01 1.4580126e-08 3.9965246e-06 -3.2881370e-07
 573 2.4597285e+03 1.2856811e+01 7.0032103e-02 2.2861100e+01 1.4539021e-08 4.0347211e-06 -3.4350752e-07
 574 2.4523920e+03 1.3093510e+01 7.0146524e-02 2.3498508e+01 1.4498078e-08 4.0735676e-06 -3.5813788e-07
 575 2.4449395e+03 1.3333838e+01 7.0259415e-02 2.4108449e+01 1.4457305e-08 4.1130546e-06 -3.7270266e-07
 576 2.4373563e+03 1.3577793e+01 7.0370776e-02 2.4690517e+01 1.4416698e-08 4.1531711e-06 -3.8719963e-07
 577 2.4296646e+03 1.3825225e+01 7.0480610e-02 2.5244304e+01 1.4376253e-08 4.1939042e-06 -4.0162635e-07
 578 2.4218569e+03 1.4076058e+01 7.0588918e-02 2.5769405e+01 1.4335974e-08 4.2352459e-06 -4.1598087e-07
 579 2.4139407e+03 1.4330290e+01 7.0695703e-02 2.6265633e+01 1.4295858e-08 4.2771833e-06 -4.3026077e-07
 580 2.4059235e+03 1.4587696e+01 7.0800969e-02 2.6732582e+01 1.4255904e-08 4.3197064e-06 -4.4446390e-07
 581 2.3978125e+03 1.4848276e+01 7.0904719e-02 2.7169844e+01 1.4216111e-08 4.3628033e-06 -4.5858791e-07
 582 2.3896078e+03 1.5111879e+01 7.1006958e-02 2.7577084e+01 1.4176480e-08 4.4064640e-06 -4.7263069e-07
 583 2.3813094e+03 1.5378429e+01 7.1107690e-02 2.7954043e+01 1.4137011e-08 4.4506777e-06 -4.8658999e-07
 584 2.3729321e+03 1.5647925e+01 7.1206920e-02 2.8300312e+01 1.4097698e-08 4.4954316e-06 -5.0046339e-07
 585 2.3644759e+03 1.5920070e+01 7.1304656e-02 2.8615630e+01 1.4058547e-08 4.5407172e-06 -5.1424891e-07
 586 2.3559407e+03 1.6194936e+01 7.1400903e-02 2.8899661e+01 1.4019548e-08 4.5865216e-06 -5.2794411e-07
 587 2.3473340e+03 1.6472374e+01 7.1495668e-02 2.9152293e+01 1.3980711e-08 4.6328352e-06 -5.4154688e-07
 588 2.3386705e+03 1.6752235e+01 7.1588960e-02 2.9373264e+01 1.3942026e-08 4.6796453e-06 -5.5505479e-07
 589 2.3299354e+03 1.7034444e+01 7.1680786e-02 2.9562386e+01 1.3903500e-08 4.7269432e-06 -5.6846586e-07
 590 2.3211510e+03 1.7318926e+01 7.1771156e-02 2.9719396e+01 1.3865128e-08 4.7747168e-06 -5.8177772e-07
 591 2.3123171e+03 1.7605532e+01 7.1860079e-02 2.9844179e+01 1.3826910e-08 4.8229551e-06 -5.9498814e-07
 592 2.3034337e+03 1.7894188e+01 7.1947566e-02 2.9936398e+01 1.3788845e-08 4.8716472e-06 -6.0809487e-07
 593 2.2945083e+03 1.8184745e+01 7.2033627e-02 2.9996012e+01 1.3750932e-08 4.9207822e-06 -6.2109568e-07
 594 2.2855407e+03 1.8477127e+01 7.2118275e-02 3.0022904e+01 1.3713170e-08 4.9703491e-06 -6.3398832e-07
 595 2.2765457e+03 1.8771188e+01 7.2201520e-02 3.0016958e+01 1.3675562e-08 5.0203376e-06 -6.4677064e-07
 596 2.2675233e+03 1.9066853e+01 7.2283378e-02 2.9978056e+01 1.3638100e-08 5.0707354e-06 -6.5944024e-07
 597 2.2584735e+03 1.9363972e+01 7.2363859e-02 2.9906008e+01 1.3600788e-08 5.1215323e-06 -6.7199496e-07
 598 2.2494035e+03 1.9662399e+01 7.2442980e-02 2.9800843e+01 1.3563625e-08 5.1727186e-06 -6.8443272e-07
 599 2.2403207e+03 1.9962134e+01 7.2520756e-02 2.9662368e+01 1.3526608e-08 5.2242808e-06 -6.9675097e-07
 600 2.2312251e+03 2.0262954e+01 7.2597200e-02 2.9490614e+01 1.3489741e-08 5.2762098e-06 -7.0894770e-07
 601 2.2221315e+03 2.0564785e+01 7.2672331e-02 2.9285609e+01 1.3453020e-08 5.3284946e-06 -7.2102096e-07
 602 2.2130246e+03 2.0867483e+01 7.2746164e-02 2.9047464e+01 1.3416444e-08 5.3811230e-06 -7.3296969e-07
 603 2.2039341e+03 2.1170975e+01 7.2818718e-02 2.8776066e+01 1.3380009e-08 5.4340838e-06 -7.4479329e-07
 604 2.1948448e+03 2.1475116e+01 7.2890011e-02 2.8471523e+01 1.3343722e-08 5.4873677e-06 -7.5649141e-07
 605 2.1857639e+03 2.1779761e+01 7.2960061e-02 2.8133872e+01 1.3307578e-08 5.5409617e-06 -7.6806318e-07
 606 2.1767060e+03 2.2084839e+01 7.3028888e-02 2.7763219e+01 1.3271580e-08 5.5948566e-06 -7.7950828e-07
 607 2.1676635e+03 2.2390279e+01 7.3096513e-02 2.7359524e+01 1.3235721e-08 5.6490394e-06 -7.9082582e-07
 608 2.1586508e+03 2.2695862e+01 7.3162955e-02 2.6922968e+01 1.3200003e-08 5.7034989e-06 -8.0201518e-07
 609 2.1496753e+03 2.3001517e+01 7.3228238e-02 2.6453731e+01 1.3164427e-08 5.7582252e-06 -8.1307596e-07
 610 2.1407218e+03 2.3307098e+01 7.3292382e-02 2.5951846e+01 1.3128993e-08 5.8132067e-06 -8.2400746e-07
 611 2.1318197e+03 2.3612388e+01 7.3355410e-02 2.5417416e+01 1.3093695e-08 5.8684322e-06 -8.3480906e-07
 612 2.1229539e+03 2.3917389e+01 7.3417345e-02 2.4850546e+01 1.3058540e-08 5.9238913e-06 -8.4548026e-07
 613 2.1141315e+03 2.4221957e+01 7.3478211e-02 2.4251415e+01 1.3023524e-08 5.9795720e-06 -8.5602035e-07
 614 2.1053747e+03 2.4525948e+01 7.3538032e-02 2.3620272e+01 1.2988642e-08 6.0354620e-06 -8.6642853e-07
 615 2.0966608e+03 2.4829216e+01 7.3596833e-02 2.2957370e+01 1.2953900e-08 6.0915529e-06 -8.7670460e-07
 616 2.0880192e+03 2.5131693e+01 7.3654639e-02 2.2263106e+01 1.2919295e-08 6.1478321e-06 -8.8684775e-07
 617 2.0794423e+03 2.5433307e+01 7.3711475e-02 2.1537656e+01 1.2884826e-08 6.2042885e-06 -8.9685737e-07
 618 2.0709372e+03 2.5733988e+01 7.3767368e-02 2.0781416e+01 1.2850492e-08 6.2609111e-06 -9.0673285e-07
 619 2.0625036e+03 2.6033445e+01 7.3822344e-02 1.9994635e+01 1.2816293e-08 6.3176886e-06 -9.1647359e-07
 620 2.0541487e+03 2.6331755e+01 7.3876429e-02 1.9177633e+01 1.2782228e-08 6.3746100e-06 -9.2607899e-07
 621 2.0458871e+03 2.6628774e+01 7.3929651e-02 1.8330657e+01 1.2748296e-08 6.4316641e-06 -9.3554843e-07
 622 2.0377110e+03 2.6924211e+01 7.3982038e-02 1.7454102e+01 1.2714500e-08 6.4888413e-06 -9.4488154e-07
 623 2.0296201e+03 2.7218142e+01 7.4033616e-02 1.6548286e+01 1.2680833e-08 6.5461275e-06 -9.5407726e-07
 624 2.0216291e+03 2.7510352e+01 7.4084415e-02 1.5613452e+01 1.2647297e-08 6.6035130e-06 -9.6313520e-07
 625 2.0137376e+03 2.7800769e+01 7.4134461e-02 1.4649920e+01 1.2613894e-08 6.6609875e-06 -9.7205489e-07
 626 2.0059529e+03 2.8089176e+01 7.4183785e-02 1.3658079e+01 1.2580619e-08 6.7185383e-06 -9.8083548e-07
 627 1.9982671e+03 2.8375503e+01 7.4232414e-02 1.2638172e+01 1.2547477e-08 6.7761559e-06 -9.8947659e-07
 628 1.9907023e+03 2.8659607e+01 7.4280377e-02 1.1590588e+01 1.2514465e-08 6.8338292e-06 -9.9797763e-07
 629 1.9832434e+03 2.8941418e+01 7.4327703e-02 1.0515864e+01 1.2481577e-08 6.8915445e-06 -1.0063376e-06
 630 1.9759049e+03 2.9220866e+01 7.4374421e-02 9.4143880e+00 1.2448820e-08 6.9492933e-06 -1.0145563e-06
 631 1.9686865e+03 2.9497660e+01 7.4420561e-02 8.2865476e+00 1.2416191e-08 7.0070644e-06 -1.0226332e-06
 632 1.9615881e+03 2.9771879e+01 7.4466152e-02 7.1328774e+00 1.2383687e-08 7.0648450e-06 -1.0305672e-06
 633 1.9546241e+03 3.0043305e+01 7.4511222e-02 5.9536888e+00 1.2351310e-08 7.1226257e-06 -1.0383582e-06
 634 1.9477868e+03 3.0311795e+01 7.4555802e-02 4.7495151e+00 1.2319058e-08 7.1803937e-06 -1.0460052e-06
 635 1.9410835e+03 3.0577353e+01 7.4599920e-02 3.5208592e+00 1.2286931e-08 7.2381395e-06 -1.0535080e-06
 636 1.9345213e+03 3.0839762e+01 7.4643606e-02 2.2682008e+00 1.2254930e-08 7.2958520e-06 -1.0608657e-06
 637 1.9280999e+03 3.1099027e+01 7.4686889e-02 9.9206355e-01 1.2223050e-08 7.3535176e-06 -1.0680776e-06
 638 1.9218191e+03 3.1354930e+01 7.4729798e-02 -3.0702986e-01 1.2191293e-08 7.4111276e-06 -1.0751434e-06
 639 1.9156860e+03 3.1607476e+01 7.4772362e-02 -1.6285797e+00 1.2159660e-08 7.4686710e-06 -1.0820624e-06
 640 1.9097004e+03 3.1856448e+01 7.4814611e-02 -2.9720663e+00 1.2128145e-08 7.5261341e-06 -1.0888338e-06
 641 1.9038694e+03 3.2101852e+01 7.4856573e-02 -4.3369648e+00 1.2096755e-08 7.5835091e-06 -1.0954573e-06
 642 1.8981855e+03 3.2343468e+01 7.4898277e-02 -5.7226857e+00 1.2065483e-08 7.6407824e-06 -1.1019319e-06
 643 1.8926705e+03 3.2581303e+01 7.4939752e-02 -7.1286344e+00 1.2034332e-08 7.6979446e-06 -1.1082575e-06
 644 1.8873020e+03 3.2815213e+01 7.4981026e-02 -8.5542037e+00 1.2003301e-08 7.7549838e-06 -1.1144331e-06
 645 1.8821021e+03 3.3044980e+01 7.5022127e-02 -9.9988020e+00 1.1972389e-08 7.8118886e-06 -1.1204583e-06
 646 1.8770704e+03 3.3270610e+01 7.5063085e-02 -1.1461839e+01 1.1941591e-08 7.8686463e-06 -1.1263321e-06
 647 1.8721995e+03 3.3491960e+01 7.5103927e-02 -1.2942642e+01 1.1910913e-08 7.9252494e-06 -1.1320544e-06
 648 1.8674963e+03 3.3708885e+01 7.5144681e-02 -1.4440748e+01 1.1880351e-08 7.9816848e-06 -1.1376244e-06
 649 1.8629608e+03 3.3921391e+01 7.5185375e-02 -1.5955340e+01 1.1849906e-08 8.0379416e-06 -1.1430415e-06
 650 1.8586075e+03 3.4129335e+01 7.5226036e-02 -1.7485895e+01 1.1819579e-08 8.0940095e-06 -1.1483053e-06
 651 1.8544214e+03 3.4332722e+01 7.5266692e-02 -1.9031673e+01 1.1789363e-08 8.1498761e-06 -1.1534149e-06
 652 1.8504096e+03 3.4531486e+01 7.5307371e-02 -2.0592017e+01 1.1759261e-08 8.2055349e-06 -1.1583707e-06
 653 1.8465793e+03 3.4725561e+01 7.5348099e-02 -2.2166346e+01 1.1729273e-08 8.2609790e-06 -1.1631732e-06
 654 1.8429302e+03 3.4914882e+01 7.5388903e-02 -2.3754008e+01 1.1699401e-08 8.3162034e-06 -1.1678229e-06
 655 1.8394694e+03 3.5099308e+01 7.5429809e-02 -2.5354348e+01 1.1669639e-08 8.3711973e-06 -1.1723198e-06
 656 1.8361818e+03 3.5278923e+01 7.5470846e-02 -2.6966566e+01 1.1639990e-08 8.4259567e-06 -1.1766645e-06
 657 1.8330819e+03 3.5453586e+01 7.5512038e-02 -2.8590159e+01 1.1610452e-08 8.4804728e-06 -1.1808571e-06
 658 1.8301697e+03 3.5623231e+01 7.5553412e-02 -3.0224254e+01 1.1581027e-08 8.5347417e-06 -1.1848986e-06
 659 1.8274446e+03 3.5787718e+01 7.5594994e-02 -3.1868275e+01 1.1551710e-08 8.5887524e-06 -1.1887886e-06
 660 1.8249066e+03 3.5947055e+01 7.5636810e-02 -3.3521497e+01 1.1522506e-08 8.6425012e-06 -1.1925280e-06
 661 1.8225553e+03 3.6101103e+01 7.5678885e-02 -3.5183198e+01 1.1493411e-08 8.6959810e-06 -1.1961172e-06
 662 1.8203980e+03 3.6249794e+01 7.5721245e-02 -3.6852729e+01 1.1464426e-08 8.7491831e-06 -1.1995562e-06
 663 1.8184269e+03 3.6393137e+01 7.5763915e-02 -3.8529296e+01 1.1435549e-08 8.8021024e-06 -1.2028457e-06
 664 1.8166492e+03 3.6530992e+01 7.5806920e-02 -4.0212175e+01 1.1406777e-08 8.8547291e-06 -1.2059857e-06
 665 1.8150647e+03 3.6663366e+01 7.5850284e-02 -4.1900722e+01 1.1378115e-08 8.9070593e-06 -1.2089769e-06
 666 1.8136657e+03 3.6790193e+01 7.5894033e-02 -4.3594217e+01 1.1349563e-08 8.9590873e-06 -1.2118199e-06
 667 1.8124594e+03 3.6911482e+01 7.5938191e-02 -4.5291865e+01 1.1321115e-08 9.0108029e-06 -1.2145146e-06
 668 1.8114530e+03 3.7027090e+01 7.5982783e-02 -4.6992949e+01 1.1292773e-08 9.0621993e-06 -1.2170614e-06
 669 1.8106314e+03 3.7136952e+01 7.6027831e-02 -4.8696824e+01 1.1264536e-08 9.1132717e-06 -1.2194610e-06
 670 1.8100093e+03 3.7241150e+01 7.6073360e-02 -5.0402699e+01 1.1236405e-08 9.1640110e-06 -1.2217134e-06
 671 1.8095790e+03 3.7339616e+01 7.6119393e-02 -5.2109857e+01 1.1208380e-08 9.2144137e-06 -1.2238194e-06
 672 1.8093402e+03 3.7432210e+01 7.6165954e-02 -5.3817655e+01 1.1180457e-08 9.2644695e-06 -1.2257790e-06
 673 1.8092928e+03 3.7519013e+01 7.6213065e-02 -5.5525229e+01 1.1152637e-08 9.3141716e-06 -1.2275926e-06
 674 1.8094366e+03 3.7599959e+01 7.6260750e-02 -5.7232013e+01 1.1124921e-08 9.3635163e-06 -1.2292609e-06
 675 1.8097787e+03 3.7674979e+01 7.6309031e-02 -5.8937143e+01 1.1097309e-08 9.4124946e-06 -1.2307841e-06
 676 1.8103115e+03 3.7744082e+01 7.6357930e-02 -6.0639905e+01 1.1069797e-08 9.4610974e-06 -1.2321622e-06
 677 1.8110349e+03 3.7807273e+01 7.6407469e-02 -6.2339659e+01 1.1042388e-08 9.5093221e-06 -1.2333963e-06
 678 1.8119412e+03 3.7864412e+01 7.6457669e-02 -6.4035469e+01 1.1015080e-08 9.5571598e-06 -1.2344863e-06
 679 1.8130450e+03 3.7915505e+01 7.6508553e-02 -6.5726621e+01 1.0987870e-08 9.6046023e-06 -1.2354325e-06
 680 1.8143388e+03 3.7960559e+01 7.6560140e-02 -6.7412403e+01 1.0960763e-08 9.6516450e-06 -1.2362355e-06
 681 1.8158149e+03 3.7999432e+01 7.6612451e-02 -6.9091881e+01 1.0933754e-08 9.6982799e-06 -1.2368957e-06
 682 1.8174732e+03 3.8032204e+01 7.6665507e-02 -7.0764416e+01 1.0906845e-08 9.7445002e-06 -1.2374134e-06
 683 1.8193209e+03 3.8058733e+01 7.6719326e-02 -7.2429150e+01 1.0880034e-08 9.7902989e-06 -1.2377889e-06
 684 1.8213578e+03 3.8079099e+01 7.6773930e-02 -7.4085518e+01 1.0853321e-08 9.8356690e-06 -1.2380226e-06
 685 1.8235688e+03 3.8093383e+01 7.6829335e-02 -7.5732810e+01 1.0826705e-08 9.8806039e-06 -1.2381149e-06
 686 1.8259614e+03 3.8101517e+01 7.6885562e-02 -7.7369945e+01 1.0800186e-08 9.9250964e-06 -1.2380661e-06
 687 1.8285352e+03 3.8103655e+01 7.6942628e-02 -7.8997105e+01 1.0773763e-08 9.9691398e-06 -1.2378768e-06
 688 1.8312901e+03 3.8099653e+01 7.7000549e-02 -8.0613578e+01 1.0747439e-08 1.0012728e-05 -1.2375472e-06
 689 1.8342261e+03 3.8089667e+01 7.7059344e-02 -8.2217912e+01 1.0721207e-08 1.0055853e-05 -1.2370777e-06
 690 1.8373354e+03 3.8073775e+01 7.7119029e-02 -8.3809399e+01 1.0695070e-08 1.0098507e-05 -1.2364686e-06
 691 1.8406180e+03 3.8051835e+01 7.7179620e-02 -8.5388072e+01 1.0669030e-08 1.0140687e-05 -1.2357206e-06
 692 1.8440738e+03 3.8023925e+01 7.7241131e-02 -8.6953221e+01 1.0643082e-08 1.0182382e-05 -1.2348335e-06
 693 1.8477025e+03 3.7990051e+01 7.7303578e-02 -8.8504139e+01 1.0617227e-08 1.0223587e-05 -1.2338082e-06
 694 1.8514966e+03 3.7950292e+01 7.7366974e-02 -9.0039374e+01 1.0591464e-08 1.0264293e-05 -1.2326447e-06
 695 1.8554635e+03 3.7904578e+01 7.7431334e-02 -9.1558960e+01 1.0565796e-08 1.0304497e-05 -1.2313438e-06
 696 1.8595808e+03 3.7852839e+01 7.7496670e-02 -9.3061446e+01 1.0540220e-08 1.0344189e-05 -1.2299055e-06
 697 1.8638706e+03 3.7795303e+01 7.7562994e-02 -9.4546866e+01 1.0514732e-08 1.0383362e-05 -1.2283301e-06
 698 1.8683105e+03 3.7731826e+01 7.7630318e-02 -9.6013770e+01 1.0489338e-08 1.0422012e-05 -1.2266185e-06
 699 1.8729152e+03 3.7662485e+01 7.7698652e-02 -9.7462193e+01 1.0464034e-08 1.0460129e-05 -1.2247705e-06
 700 1.8776700e+03 3.7587359e+01 7.7768007e-02 -9.8891425e+01 1.0438819e-08 1.0497707e-05 -1.2227868e-06
 701 1.8825745e+03 3.7506452e+01 7.7838392e-02 -1.0030076e+02 1.0413694e-08 1.0534741e-05 -1.2206679e-06
 702 1.8876215e+03 3.7419768e+01 7.7909816e-02 -1.0168952e+02 1.0388658e-08 1.0571225e-05 -1.2184144e-06
 703 1.8928183e+03 3.7327460e+01 7.7982286e-02 -1.0305775e+02 1.0363710e-08 1.0607156e-05 -1.2160275e-06
 704 1.8981650e+03 3.7229459e+01 7.8055811e-02 -1.0440329e+02 1.0338849e-08 1.0642528e-05 -1.2135081e-06
 705 1.9036391e+03 3.7125917e+01 7.8130395e-02 -1.0572693e+02 1.0314077e-08 1.0677340e-05 -1.2108573e-06
 706 1.9092631e+03 3.7016838e+01 7.8206046e-02 -1.0702724e+02 1.0289392e-08 1.0711585e-05 -1.2080757e-06
 707 1.9150146e+03 3.6902375e+01 7.8282767e-02 -1.0830429e+02 1.0264793e-08 1.0745261e-05 -1.2051648e-06
 708 1.9208938e+03 3.6782382e+01 7.8360563e-02 -1.0955813e+02 1.0240281e-08 1.0778363e-05 -1.2021252e-06
 709 1.9269079e+03 3.6657160e+01 7.8439438e-02 -1.1078659e+02 1.0215858e-08 1.0810889e-05 -1.1989582e-06
 710 1.9330423e+03 3.6526639e+01 7.8519394e-02 -1.1199047e+02 1.0191517e-08 1.0842833e-05 -1.1956645e-06
 711 1.9392969e+03 3.6390895e+01 7.8600433e-02 -1.1316909e+02 1.0167262e-08 1.0874190e-05 -1.1922450e-06
 712 1.9456792e+03 3.6250006e+01 7.8682556e-02 -1.1432101e+02 1.0143094e-08 1.0904959e-05 -1.1887011e-06
 713 1.9521671e+03 3.6103975e+01 7.8765764e-02 -1.1544629e+02 1.0119009e-08 1.0935134e-05 -1.1850334e-06
 714 1.9587679e+03 3.5952953e+01 7.8850055e-02 -1.1654424e+02 1.0095008e-08 1.0964713e-05 -1.1812431e-06
 715 1.9654817e+03 3.5796943e+01 7.8935430e-02 -1.1761492e+02 1.0071090e-08 1.0993687e-05 -1.1773308e-06
 716 1.9722938e+03 3.5635946e+01 7.9021885e-02 -1.1865765e+02 1.0047257e-08 1.1022059e-05 -1.1732980e-06
 717 1.9792042e+03 3.5470040e+01 7.9109419e-02 -1.1967099e+02 1.0023508e-08 1.1049820e-05 -1.1691455e-06
 718 1.9862131e+03 3.5299300e+01 7.9198027e-02 -1.2065500e+02 9.9998384e-09 1.1076967e-05 -1.1648740e-06
 719 1.9933129e+03 3.5123877e+01 7.9287707e-02 -1.2160898e+02 9.9762534e-09 1.1103498e-05 -1.1604848e-06
 720 2.0005040e+03 3.4943773e+01 7.9378452e-02 -1.2253374e+02 9.9527501e-09 1.1129407e-05 -1.1559787e-06
 721 2.0077789e+03 3.4759212e+01 7.9470258e-02 -1.2342785e+02 9.9293280e-09 1.1154691e-05 -1.1513568e-06
 722 2.0151377e+03 3.4570195e+01 7.9563119e-02 -1.2429135e+02 9.9059869e-09 1.1179345e-05 -1.1466200e-06
 723 2.0225805e+03 3.4376946e+01 7.9657027e-02 -1.2512431e+02 9.8827262e-09 1.1203365e-05 -1.1417693e-06
 724 2.0301001e+03 3.4179540e+01 7.9751976e-02 -1.2592603e+02 9.8595433e-09 1.1226746e-05 -1.1368053e-06
 725 2.0376965e+03 3.3978054e+01 7.9847956e-02 -1.2669581e+02 9.8364424e-09 1.1249487e-05 -1.1317297e-06
 726 2.0453625e+03 3.3772561e+01 7.9944960e-02 -1.2743446e+02 9.8134232e-09 1.1271584e-05 -1.1265432e-06
 727 2.0530981e+03 3.3563210e+01 8.0042979e-02 -1.2814054e+02 9.7904806e-09 1.1293031e-05 -1.1212466e-06
 728 2.0609034e+03 3.3350002e+01 8.0142001e-02 -1.2881485e+02 9.7676165e-09 1.1313824e-05 -1.1158410e-06
 729 2.0687565e+03 3.3133160e+01 8.0242016e-02 -1.2945520e+02 9.7448306e-09 1.1333959e-05 -1.1103273e-06
 730 2.0766721e+03 3.2912610e+01 8.0343015e-02 -1.3006313e+02 9.7221224e-09 1.1353433e-05 -1.1047065e-06
 731 2.0846431e+03 3.2688574e+01 8.0444984e-02 -1.3063795e+02 9.6994938e-09 1.1372244e-05 -1.0989799e-06
